Station,diatoms,dinoflagellates,cyanobacteria,chrysophyceae,Pro,Syn,Euk,bacteria
S10-07,0.083074496,0.022119595,0.014327229,0,10.18,0.45,0.57,92.19
S10-03,0.133227143,0.015364779,0.030952167,0,47.28,1.71,2.38,28.61
E87-36,0.052675529,0.037585754,0.143272293,0.006452942,24.64,5.75,5.42,41.39
E87-32,0.156333093,0.021660724,0.014615558,0.012905885,9.82,7.27,2.21,61.58
E87-28,0.036442864,0.462352176,0,0.083888252,67.66,19.82,3.88,82.49
E80-10,0,0.069962479,0.003581807,0.006452942,13.9,1.8,0.89,24.67
E80-05,0.013598089,0.03439094,0,0,37.26,4.09,2.67,38.3
EQ-04,0.170853059,0.475310104,0,0,18.05,7.1,3.97,12.15
E87-26,0.412219594,0.462114353,0,0.006452942,34.74,36.81,10.17,36.06
E87-18    ,0.043434351,2.076872031,0,0.006452942,68.61,1.27,0.57,14.42
E87-14,0.029671029,0.467045864,0,0,52.33,0.68,0.53,29
EQ-07,0.059368039,0.023946531,0,0,29.83,12.5,4.24,71.13
EQ-09,0.00506901,0.101389913,0,0.012905885,18.48,0.98,0.8,41.95
EI-03,0.140971438,2.124157582,0,0,7.03,0.81,0.31,47.33
E87-11,0.168499226,0.055495591,0,0,36.16,2.82,1.68,12.86
E87-07,0.078694019,0.013796213,0,0,37.58,0.52,0.81,16.36
E87-03,0.04569086,0.004168574,0,0,17.96,0.24,0.71,14.57
E87-01,0.060282993,0.009170982,0,0,30.54,0.25,1.54,13.79
